Continent,Sample_type,Sample_type_specific,Total
Asia,Clinical,Clin_Blood+CSF,2
Asia,Clinical,Clin_Other,3
Asia,Clinical,Clin_Stool,5
Asia,Environment,Env_Built,15
Asia,Environment,Env_FoodFacility,0
Asia,Environment,Env_Natural,12
Asia,Food,Food_Dry,26
Asia,Food,Food_Powdered,25
Asia,Food,Food_Other,34
North_America,Clinical,Clin_Blood+CSF,14
North_America,Clinical,Clin_Other,22
North_America,Clinical,Clin_Stool,6
North_America,Environment,Env_Built,178
North_America,Environment,Env_FoodFacility,30
North_America,Environment,Env_Natural,1
North_America,Food,Food_Dry,84
North_America,Food,Food_Powdered,68
North_America,Food,Food_Other,52
Europe,Clinical,Clin_Blood+CSF,1
Europe,Clinical,Clin_Other,12
Europe,Clinical,Clin_Stool,9
Europe,Environment,Env_Built,0
Europe,Environment,Env_FoodFacility,128
Europe,Environment,Env_Natural,1
Europe,Food,Food_Dry,0
Europe,Food,Food_Powdered,17
Europe,Food,Food_Other,2
