Bin,Continent,Location,Sample_type,Sample_type_specific
GCA_000467775.2_CsakCC4_8399_1.0_genomic,Asia,Israel,Clinical,Clin_Blood+CSF
GCA_000698225.1_ASM69822v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_000974965.1_ASM97496v1_genomic,North_America,USA,Clinical,Clin_Blood+CSF
GCA_000982825.1_ASM98282v1_genomic,North_America,USA,Clinical,Clin_Blood+CSF
GCA_001277275.1_ASM127727v1_genomic,Europe,United Kingdom,Food,Food_Other
GCA_001308945.1_ASM130894v1_genomic,Europe,France,Food,Food_Powdered
GCA_001308965.1_ASM130896v1_genomic,Europe,France,Clinical,Clin_Other
GCA_001308935.1_ASM130893v1_genomic,Europe,France,Clinical,Clin_Stool
GCA_001309015.1_ASM130901v1_genomic,Europe,France,Clinical,Clin_Other
GCA_001309035.1_ASM130903v1_genomic,Europe,France,Clinical,Clin_Other
GCA_001309045.1_ASM130904v1_genomic,Europe,France,Clinical,Clin_Stool
GCA_001309095.1_ASM130909v1_genomic,Europe,France,Clinical,Clin_Other
GCA_001309055.1_ASM130905v1_genomic,Europe,France,Clinical,Clin_Other
GCA_001309115.1_ASM130911v1_genomic,Europe,France,Clinical,Clin_Stool
GCA_001309135.1_ASM130913v1_genomic,Europe,France,Clinical,Clin_Other
GCA_001309155.1_ASM130915v1_genomic,Europe,France,Clinical,Clin_Stool
GCA_001309185.1_ASM130918v1_genomic,Europe,France,Food,Food_Powdered
GCA_001309175.1_ASM130917v1_genomic,Europe,France,Clinical,Clin_Stool
GCA_001309215.1_ASM130921v1_genomic,Europe,France,Clinical,Clin_Other
GCA_001309225.1_ASM130922v1_genomic,Europe,France,Clinical,Clin_Stool
GCA_001309275.1_ASM130927v1_genomic,Europe,France,Clinical,Clin_Other
GCA_001309295.1_ASM130929v1_genomic,Europe,France,Clinical,Clin_Stool
GCA_001309305.1_ASM130930v1_genomic,Europe,France,Food,Food_Powdered
GCA_001309315.1_ASM130931v1_genomic,Europe,France,Clinical,Clin_Stool
GCA_001309345.1_ASM130934v1_genomic,Europe,France,Food,Food_Powdered
GCA_001309375.1_ASM130937v1_genomic,Europe,France,Clinical,Clin_Other
