Gene,Annotation
fadI,3-ketoacyl-CoA thiolase FadI;hypothetical protein
ccmC,Heme exporter protein C
group_6064,hypothetical protein
entC_1_entC_2_entC,Isochorismate synthase EntC
glgB_2_glgB_1_glgB,14-alpha-glucan branching enzyme GlgB
group_6058,hypothetical protein
group_6051,hypothetical protein
adhB_2_adhB_3,Gluconate 2-dehydrogenase cytochrome c subunit;Alcohol dehydrogenase (quinone) cytochrome c subunit
treR,HTH-type transcriptional regulator TreR
murI_1_murI_2_murI,Glutamate racemase
pcm,Protein-L-isoaspartate O-methyltransferase
group_6045,6-deoxy-6-sulfogluconolactonase
hemN_2_hemN_1_hemN,Oxygen-independent coproporphyrinogen III oxidase
yicI_1_yicI_yicI_2,Alpha-xylosidase;hypothetical protein
lolD_2_lolD_1,Lipoprotein-releasing system ATP-binding protein LolD
yciN,Protein YciN;hypothetical protein
phnO_phnO_1_phnO_2,Aminoalkylphosphonate N-acetyltransferase;hypothetical protein
lacZ_2_lacZ_1_csxA,hypothetical protein;Beta-galactosidase;Exo-beta-D-glucosaminidase
serC_1_serC_serC_2,Phosphoserine aminotransferase
rluA,hypothetical protein;Dual-specificity RNA pseudouridine synthase RluA
aaeA_1_aaeA_3_aaeA_2,p-hydroxybenzoic acid efflux pump subunit AaeA
aaeB_2_aaeB_1_aaeB_3,hypothetical protein;p-hydroxybenzoic acid efflux pump subunit AaeB
sodC,Superoxide dismutase [Cu-Zn];hypothetical protein
tauB_tauB_2_tauB_1,Taurine import ATP-binding protein TauB
lacI_2_lacI_3_lacI_1,Lactose operon repressor
dnaN,Beta sliding clamp;hypothetical protein
ycfS_2_ycfS_ycfS_1,putative LD-transpeptidase YcfS
ymdB,O-acetyl-ADP-ribose deacetylase
purB_1_purB_2_purB,hypothetical protein;Adenylosuccinate lyase
cinA_pncC_1,hypothetical protein;Putative competence-damage inducible protein;Nicotinamide-nucleotide amidohydrolase PncC
selA_selA_1_selA_2,L-seryl-tRNA(Sec) selenium transferase
caf1A,hypothetical protein;F1 capsule-anchoring protein
cutD,Choline trimethylamine-lyase activating enzyme
yraJ_1_yraJ_2_yraJ_3,Outer membrane usher protein YraJ
kdpC,Potassium-transporting ATPase KdpC subunit
qseG,Quorum-sensing regulator protein G;hypothetical protein
fimG,Protein FimG
ylaC,Inner membrane protein YlaC
eamB,hypothetical protein;Cysteine/O-acetylserine efflux protein
ubiC,Chorismate pyruvate-lyase
fiu_btuB_1_fecA_fyuA_btuB_3_cirA_btuB_2,Catecholate siderophore receptor Fiu;Vitamin B12 transporter BtuB;Fe(3+) dicitrate transport protein FecA;hypothetical protein;Pesticin receptor;Colicin I receptor
zapC,Cell division protein ZapC
lysC,hypothetical protein;Lysine-sensitive aspartokinase 3
group_6016,hypothetical protein
rbsC_1,hypothetical protein;Ribose import permease protein RbsC
mglA_1_mglA_2,Galactose/methyl galactoside import ATP-binding protein MglA
xseA,Exodeoxyribonuclease 7 large subunit
group_6008,hypothetical protein
araG_2_araG_1_araG,Arabinose import ATP-binding protein AraG
araF_1_araF_2_araF,hypothetical protein;L-arabinose-binding periplasmic protein
ycdZ,Inner membrane protein YcdZ
sutR_2_sutR_3,HTH-type transcriptional regulator SutR
tamB_1_tamB_3_tamB_2_tamB,Translocation and assembly module subunit TamB;hypothetical protein
mukB_mukB_2_mukB_1,Chromosome partition protein MukB;hypothetical protein
ycbB,hypothetical protein;putative LD-transpeptidase YcbB
group_6003,hypothetical protein
fhuE_2_fhuE_1_fhuE,FhuE receptor
group_6002,hypothetical protein
araA_2_araA_1_araA,L-arabinose isomerase
araC,Arabinose operon regulatory protein
group_6000,hypothetical protein
elbB,Glyoxalase ElbB
zapD_2_zapD_1_zapD,Cell division protein ZapD
group_5998,hypothetical protein
dcp_2_dcp_dcp_1,Dipeptidyl carboxypeptidase;hypothetical protein
group_5997,hypothetical protein
dkgA,hypothetical protein;25-diketo-D-gluconic acid reductase A
tolC,hypothetical protein;Outer membrane protein TolC
group_5991,hypothetical protein
yiaC_1,hypothetical protein;Peptidyl-lysine N-acetyltransferase YiaC
group_5990,hypothetical protein
group_5987,hypothetical protein
yohC,Inner membrane protein YohC
ytfP,Gamma-glutamylcyclotransferase family protein YtfP;Gamma-glutamylcyclotransferase family protein ytfP
glxK_garK,Glycerate 3-kinase;Glycerate 2-kinase;hypothetical protein
group_5982,hypothetical protein
tauD_3_tauD_2_tauD_1,Alpha-ketoglutarate-dependent taurine dioxygenase
group_5979,hypothetical protein
