subject,gene,annotation,group
VFG037170(gb|WP_001081754), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037177(gb|WP_000632986), (plc2, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037172(gb|WP_001081748), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037173(gb|WP_000633004), (plc2, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037176(gb|WP_001081735), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037178(gb|YP_001083140), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037179(gb|YP_001085084), (plc2, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037182(gb|WP_001081755), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037184(gb|WP_001081758), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037185(gb|WP_020753227), (plc2, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037186(gb|WP_001081765), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037188(gb|WP_001081762), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037189(gb|WP_000632992), (plc2, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037194(gb|WP_001081740), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037195(gb|WP_000633005), (plc2, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037196(gb|YP_005796961), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037198(gb|WP_001081736), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037203(gb|WP_000079188), (plcD, phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase [Phospholipase D (VF0469, - Exotoxin (VFC0235
VFG037201(gb|WP_000079186), (plcD, phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase [Phospholipase D (VF0469, - Exotoxin (VFC0235
VFG037204(gb|YP_001085994), (plcD, phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase [Phospholipase D (VF0469, - Exotoxin (VFC0235
VFG037209(gb|WP_000079185), (plcD, phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase [Phospholipase D (VF0469, - Exotoxin (VFC0235
VFG037212(gb|WP_000079187), (plcD, phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase [Phospholipase D (VF0469, - Exotoxin (VFC0235
VFG037218(gb|WP_000983821), (basJ, acinetobactin biosynthesis protein BasJ [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037216(gb|WP_000983826), (basJ, acinetobactin biosynthesis protein BasJ [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037219(gb|YP_001085393), (basJ, acinetobactin biosynthesis protein BasJ [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037222(gb|WP_000983827), (basJ, acinetobactin biosynthesis protein BasJ [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037224(gb|WP_000983828), (basJ, acinetobactin biosynthesis protein BasJ [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037232(gb|WP_001093095), (basI, phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037230(gb|WP_001093105), (basI, phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037233(gb|YP_001085394), (basI, phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037236(gb|WP_001093099), (basI, phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037238(gb|WP_001093106), (basI, phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037243(gb|WP_001032913), (basH, non-ribosomal peptide biosynthesis thioesterase BasH [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037244(gb|WP_001032905), (basH, non-ribosomal peptide biosynthesis thioesterase BasH [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037246(gb|WP_001032906), (basH, non-ribosomal peptide biosynthesis thioesterase BasH [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037247(gb|YP_001085395), (basH, non-ribosomal peptide biosynthesis thioesterase BasH [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037250(gb|WP_020753355), (basH, non-ribosomal peptide biosynthesis thioesterase BasH [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037252(gb|WP_001032911), (basH, non-ribosomal peptide biosynthesis thioesterase BasH [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037255(gb|YP_005799703), (basH, non-ribosomal peptide biosynthesis thioesterase BasH [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037260(gb|WP_001095752), (barB, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037258(gb|WP_001090101), (barB, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037261(gb|YP_001085396), (barB, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037264(gb|WP_020753356), (barB, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037266(gb|WP_001090102), (barB, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037272(gb|WP_001281555), (barA, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037273(gb|WP_001281554), (barA, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037274(gb|WP_001281538), (barA, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037275(gb|YP_001085399), (barA, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037277(gb|WP_031967279), (barA, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037278(gb|WP_139161447), (barA, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037280(gb|WP_001281545), (barA, siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037288(gb|WP_000603876), (basG, acinetobactin biosynthesis protein BasF [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037286(gb|WP_000603880), (basG, acinetobactin biosynthesis protein BasF [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037289(gb|YP_001085400), (basG, acinetobactin biosynthesis protein BasF [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
