Var,se,mean,COG,group,id
Clinical,0.07,1.3,E,group1,1
Environment,0.03,1.57,E,group1,2
Food,0.03,1.78,E,group1,3
NA,NA,NA,NA,NA,4
Clinical,0.07,4.41,G,group2,5
Environment,0.05,4.56,G,group2,6
Food,0.06,4.93,G,group2,7
NA,NA,NA,NA,NA,8
Clinical,0.06,1.31,I,group3,9
Environment,0.03,1.37,I,group3,10
Food,0.03,1.59,I,group3,11
NA,NA,NA,NA,NA,12
Clinical,0.28,9.98,L,group4,13
Environment,0.12,9.08,L,group4,14
Food,0.1,8.21,L,group4,15
NA,NA,NA,NA,NA,16
Clinical,0.14,7.84,M,group5,17
Environment,0.07,8.36,M,group5,18
Food,0.07,8.64,M,group5,19
NA,NA,NA,NA,NA,20
Clinical,0.09,4.55,N,group6,21
Environment,0.04,4.48,N,group6,22
Food,0.05,4.74,N,group6,23
NA,NA,NA,NA,NA,24
Clinical,0.09,2.62,O,group7,25
Environment,0.03,2.06,O,group7,26
Food,0.04,1.99,O,group7,27
NA,NA,NA,NA,NA,28
Clinical,0.15,2.95,P,group8,29
Environment,0.05,2.62,P,group8,30
Food,0.06,2.36,P,group8,31
NA,NA,NA,NA,NA,32
Clinical,0.09,3.08,T,group9,33
Environment,0.05,3.48,T,group9,34
Food,0.05,3.05,T,group9,35
NA,NA,NA,NA,NA,36
NA,NA,NA,NA,NA,37
Environment,0.030933922,1.566739399,E,group10,38
Food,0.032295439,1.777775952,E,group10,39
NA,NA,NA,NA,NA,40
Environment,0.051086739,4.558265323,G,group11,41
Food,0.056417522,4.928811929,G,group11,42
NA,NA,NA,NA,NA,43
Environment,0.029415658,1.367637194,I,group12,44
Food,0.033666561,1.58896981,I,group12,45
NA,NA,NA,NA,NA,46
Environment,0.124209733,9.075928373,L,group13,47
Food,0.100185474,8.214652479,L,group13,48
NA,NA,NA,NA,NA,49
Environment,0.065129444,8.362993373,M,group14,50
Food,0.07201597,8.637490722,M,group14,51
NA,NA,NA,NA,NA,52
Environment,0.044288412,4.477894515,N,group15,53
Food,0.049944517,4.744151126,N,group15,54
NA,NA,NA,NA,NA,55
Environment,0.047316205,2.616864005,P,group16,56
Food,0.054990409,2.360407871,P,group16,57
NA,NA,NA,NA,NA,58
Environment,0.053570539,3.478863296,T,group17,59
Food,0.054281169,3.051718142,T,group17,60
NA,NA,NA,NA,NA,61
NA,NA,NA,NA,NA,62
Food_Dry,0.041,1.22,D,group18,63
Food_Other,0.039,1.11,D,group18,64
Food_Powdered,0.039,1.42,D,group18,65
NA,NA,NA,NA,NA,66
Food_Dry,0.047,1.99,E,group19,67
Food_Other,0.052,1.7,E,group19,68
Food_Powdered,0.06,1.63,E,group19,69
NA,NA,NA,NA,NA,70
Food_Dry,0.093,5.26,G,group20,71
Food_Other,0.088,5.2,G,group20,72
Food_Powdered,0.085,4.38,G,group20,73
NA,NA,NA,NA,NA,74
Food_Dry,0.048,1.86,I,group21,75
Food_Other,0.065,1.77,I,group21,76
Food_Powdered,0.039,1.17,I,group21,77
NA,NA,NA,NA,NA,78
Food_Dry,0.125645504,7.709199809,L,group22,79
Food_Other,0.189248335,8.011180057,L,group22,80
Food_Powdered,0.183546935,8.876862991,L,group22,81
NA,NA,NA,NA,NA,82
Food_Dry,0.119,8.96,M,group23,83
Food_Other,0.113,8.92,M,group23,84
Food_Powdered,0.106,8.1,M,group23,85
NA,NA,NA,NA,NA,86
Food_Dry,0.072,4.97,N,group24,87
Food_Other,0.09,4.92,N,group24,88
Food_Powdered,0.086,4.38,N,group24,89
NA,NA,NA,NA,NA,90
Food_Dry,0.045,1.82,O,group25,91
Food_Other,0.07,2.07,O,group25,92
Food_Powdered,0.072,2.1,O,group25,93
NA,NA,NA,NA,NA,94
Food_Dry,0.059,1.88,P,group26,95
Food_Other,0.1,2.33,P,group26,96
Food_Powdered,0.098,2.86,P,group26,97
NA,NA,NA,NA,NA,98
Food_Dry,0.04,1.48,Q,group27,99
Food_Other,0.046,1.47,Q,group27,100
Food_Powdered,0.034,1.26,Q,group27,101
NA,NA,NA,NA,NA,102
Food_Dry,0.071,2.72,T,group28,103
Food_Other,0.089,2.93,T,group28,104
Food_Powdered,0.101,3.48,T,group28,105
NA,NA,NA,NA,NA,106
NA,NA,NA,NA,NA,107
Asia,0.039,1.16,D,group29,108
Europe,0.026,1.48,D,group29,109
North_America,0.019,1.27,D,group29,110
NA,NA,NA,NA,NA,111
Asia,0.045977341,1.805405995,E,group30,112
Europe,0.040202437,1.223182272,E,group30,113
North_America,0.027297696,1.731078828,E,group30,114
NA,NA,NA,NA,NA,115
Asia,0.0882065,5.07173559,G,group31,116
Europe,0.053866553,4.238045118,G,group31,117
North_America,0.04692188,4.76722136,G,group31,118
NA,NA,NA,NA,NA,119
Asia,0.054882072,1.753778588,I,group32,120
Europe,0.030686945,1.062923789,I,group32,121
North_America,0.026157567,1.520890771,I,group32,122
NA,NA,NA,NA,NA,123
Asia,0.174364283,7.696989787,L,group33,124
Europe,0.143479838,10.64101301,L,group33,125
North_America,0.09420991,8.42126713,L,group33,126
NA,NA,NA,NA,NA,127
Asia,0.122,8.95,M,group34,128
Europe,0.078,7.85,M,group34,129
North_America,0.059,8.49,M,group34,130
NA,NA,NA,NA,NA,131
Asia,0.086,5.02,N,group35,132
Europe,0.056,4.34,N,group35,133
North_America,0.04,4.58,N,group35,134
NA,NA,NA,NA,NA,135
Asia,0.054,1.94,O,group36,136
Europe,0.044,2.32,O,group36,137
North_America,0.032,2.04,O,group36,138
NA,NA,NA,NA,NA,139
Asia,0.074,2.11,P,group37,140
Europe,0.052,2.54,P,group37,141
North_America,0.051,2.66,P,group37,142
NA,NA,NA,NA,NA,143
Asia,0.039,1.41,Q,group38,144
Europe,0.022,1.17,Q,group38,145
