query,Description,COG
group_6323,"MbeB-like, N-term conserved region",S
group_398,Endonuclease that specifically degrades the RNA of RNA- DNA hybrids,L
fadE_fadE_2_fadE_1,acyl-CoA dehydrogenase,I
gmhA_2_gmhA,Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate,G
yafJ_2_yafJ,glutamine amidotransferase,S
group_2177,ErfK YbiS YcfS YnhG family protein,S
gpt,"Acts on guanine, xanthine and to a lesser extent hypoxanthine",F
group_2178,Belongs to the UPF0255 family,S
proA_proA_1_proA_2,Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate,E
group_9473,Uncharacterised protein conserved in bacteria (DUF2326),S
ygiW_1,Bacterial OB fold (BOF) protein,S
group_2859,Belongs to the NiCoT transporter (TC 2.A.52) family,P
group_3114,Metal-sensitive transcriptional repressor,S
group_2638,Major Facilitator,EGP
group_4185,Transglutaminase-like,E
group_3317,-,-
group_2554,-,-
group_1915,-,-
group_1785,HupE / UreJ protein,O
group_1784,-,-
group_4774,Inovirus Gp2,S
group_3355,transcriptional regulator,K
group_2663,-,-
group_1172,-,-
group_467,Belongs to the UPF0758 family,E
smg,Belongs to the Smg family,S
def,Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions,J
trkA,found to be peripherally associated with the inner membrane in Escherichia coli,P
rplQ,Ribosomal protein L17,J
rpoA,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,K
rpsD,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit",J
rpsM,"Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits",J
secY,"The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently",U
rplO,binds to the 23S rRNA,J
rpsE,Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body,J
rplR,"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance",J
rplF,"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center",J
rpsH,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit",J
rpsN,"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site",J
rplE,"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits",J
rplX,One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit,J
rplN,Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome,J
rpsQ,"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA",J
rpmC,Belongs to the universal ribosomal protein uL29 family,J
rplP,Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs,J
rplV,"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome",J
rpsS,Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA,J
rplB,"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity",J
rplW,One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome,J
rplD,Forms part of the polypeptide exit tunnel,J
rplC,"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit",J
rpsJ,Involved in the binding of tRNA to the ribosomes,J
bfr,"Iron-storage protein, whose ferroxidase center binds Fe(2 ) ions, oxidizes them by dioxygen to Fe(3 ), and participates in the subsequent Fe(3 ) oxide mineral core formation within the central cavity of the protein complex",P
clpB_2_clpB_1_clpB,"Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE",O
rluD,Responsible for synthesis of pseudouridine from uracil,J
bamD,"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane",M
tyrA,T-protein,E
aroF_1_aroF_2_aroF,Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP),E
rimM,"An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes",J
rpsP,"In addition to being a ribosomal protein, S16 also has a cation-dependent endonuclease activity",J
ffh,"Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY. Interaction with FtsY leads to the transfer of the RNC complex to the Sec translocase for insertion into the membrane, the hydrolysis of GTP by both Ffh and FtsY, and the dissociation of the SRP-FtsY complex into the individual components",U
ypjD,cytochrome C assembly protein,S
nadK,"Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP",F
recN_1_recN,May be involved in recombinational repair of damaged DNA,L
bamE,"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane",M
pasT,oligoketide cyclase lipid transport protein,I
smpB,"Required for rescue of stalled ribosomes mediated by trans-translation. Binds to transfer-messenger RNA (tmRNA), required for stable association of tmRNA with ribosomes. tmRNA and SmpB together mimic tRNA shape, replacing the anticodon stem-loop with SmpB. tmRNA is encoded by the ssrA gene",J
prsE,"Type I secretion membrane fusion protein, HlyD",M
gpFI,Phage tail sheath C-terminal domain,S
group_5124,"Caudovirales tail fibre assembly protein, lambda gpK",S
group_4053,phage tail,S
group_5029,Tail protein,S
group_2552,PFAM Archaeal ATPase,S
group_3379,C-5 cytosine-specific DNA methylase,L
bspRIM,C-5 cytosine-specific DNA methylase,L
group_514,Bacteriophage replication gene A protein (GPA),S
xerC_5_xerC_3_xerC_7_xerC_1_xerC_4_xerC_2,Phage integrase family,L
group_3388,-,-
group_6014,"Subunit R is required for both nuclease and ATPase activities, but not for modification",V
group_4237,Proteolipid membrane potential modulator,S
group_4172,Protein of unknown function (DUF2002),S
ygaM,ribosome binding,S
nrdF,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,F
proV,"glycine, betaine",E
proX_1_proX_2_proX,"glycine, betaine",E
ynfM_2,Major facilitator superfamily,EGP
mprA,Transcriptional,K
group_4126,CHASE4 domain,T
luxS,"Involved in the synthesis of autoinducer 2 (AI-2) which is secreted by bacteria and is used to communicate both the cell density and the metabolic potential of the environment. The regulation of gene expression in response to changes in cell density is called quorum sensing. Catalyzes the transformation of S-ribosylhomocysteine (RHC) to homocysteine (HC) and 4,5- dihydroxy-2,3-pentadione (DPD)",H
csrA,Could accelerate the degradation of some genes transcripts potentially through selective RNA binding,J
recA_1,"Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage",L
mltB_2_mltB_1_mltB,Lytic murein transglycosylase,M
artQ_1_artQ_2,amino acid ABC transporter,E
glnH_2_glnH_1,ABC transporter substrate-binding protein,ET
group_3632,KTSC domain,S
tar_3_tsr_1_tsr_4_tsr_2_tar_1_tar_2,"chemotaxis, protein",NT
edcC_1_edcC_2_edcC,Decarboxylase involved in the decarboxylation and detoxification of phenolic derivatives under both aerobic and anaerobic conditions. It is able to catalyze the reversible decarboxylation of 4-hydroxybenzoate and vanillate,H
hosA,Transcriptional regulator,K
ispF,"Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP)",I
ispD,Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP),I
ftsB,"Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic",D
ygbE,membrane,S
cysC,Catalyzes the synthesis of activated sulfate,F
cysN_cysN_2_cysN_1,Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. CysN NodQ subfamily,H
cysD,"sulfate adenylyltransferase), subunit 2",H
cysH,Reduction of activated sulfate into sulfite,EH
cysJ,Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L- cysteine from sulfate. The flavoprotein component catalyzes the electron flow from NADPH - FAD - FMN to the hemoprotein component,P
queD,6-pyruvoyltetrahydropterin synthase activity,H
queE,"Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7- carboxy-7-deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds",H
ptsG_3_ptsG_2_ptsG_4_ptsG_1,PTS system,G
eno_2_eno_1_eno,Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis,G
pyrG_1,Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates,F
relA,In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance,KT
ppnN,Rossmann fold nucleotide-binding protein,S
sdaC_1,Serine transporter,E
ygdG_xni_ygdG_1_ygdG_2,"Has flap endonuclease activity. During DNA replication, flap endonucleases cleave the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment",L
rlmM_1_rlmM_2_rlmM,Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA methyltransferase RlmE family. RlmM subfamily,J
group_5913,Small membrane protein,S
gcvA_2_gcvA_1,transcriptional regulator,K
ygdR_1,Lipoprotein,S
csdA,"Cysteine desulfurases mobilize the sulfur from L- cysteine to yield L-alanine, an essential step in sulfur metabolism for biosynthesis of a variety of sulfur-containing biomolecules. Component of the suf operon, which is activated and required under specific conditions such as oxidative stress and iron limitation. Acts as a potent selenocysteine lyase in vitro, that mobilizes selenium from L-selenocysteine. Selenocysteine lyase activity is however unsure in vivo",E
tcdA,Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1,H
mltA,Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and or cell division,M
argA_2_argA_argA_1,Belongs to the acetyltransferase family. ArgA subfamily,E
